,Date,Carbon,Coal,Gas
0,2023-01-03,79.49500274658203,184.6499939,72.31400299072266
1,2023-01-04,73.9000015258789,178.5,65.02200317382812
2,2023-01-05,75.25499725341797,177.25,72.4219970703125
3,2023-01-06,73.8949966430664,171.8500061,69.53399658203125
4,2023-01-07,73.8949966430664,171.8500061,69.53399658203125
5,2023-01-08,73.8949966430664,171.8500061,69.53399658203125
6,2023-01-09,78.37999725341797,171.1499939,74.302001953125
7,2023-01-10,77.49500274658203,171.0,70.07099914550781
8,2023-01-11,75.3499984741211,165.1499939,65.34600067138672
9,2023-01-12,76.57499694824219,174.75,66.80899810791016
10,2023-01-13,76.09500122070312,169.0,64.81199645996094
11,2023-01-14,76.09500122070312,169.0,64.81199645996094
12,2023-01-15,76.09500122070312,169.0,64.81199645996094
13,2023-01-16,74.29499816894531,169.0,64.81199645996094
14,2023-01-17,76.05500030517578,170.0,60.06100082397461
15,2023-01-18,79.77999877929688,174.1499939,61.70899963378906
16,2023-01-19,80.66000366210938,175.3999939,60.71699905395508
17,2023-01-20,81.5,175.1000061,66.89800262451172
18,2023-01-21,81.5,175.1000061,66.89800262451172
19,2023-01-22,81.5,175.1000061,66.89800262451172
20,2023-01-23,81.49500274658203,172.3999939,65.9990005493164
21,2023-01-24,79.05500030517578,169.6499939,58.26900100708008
22,2023-01-25,81.30000305175781,166.1499939,56.65999984741211
23,2023-01-26,85.4000015258789,166.1499939,54.81499862670898
24,2023-01-27,85.49500274658203,167.5500031,55.42499923706055
25,2023-01-28,85.49500274658203,167.5500031,55.42499923706055
26,2023-01-29,85.49500274658203,167.5500031,55.42499923706055
27,2023-01-30,86.11000061035156,138.6499939,55.15599822998047
28,2023-01-31,89.3949966430664,136.5500031,57.35200119018555
29,2023-02-01,91.36000061035156,141.3500061,59.527000427246094
30,2023-02-02,89.25,136.6499939,57.040000915527344
31,2023-02-03,89.73999786376953,138.0,57.88899993896485
32,2023-02-04,89.73999786376953,138.0,57.88899993896485
33,2023-02-05,89.73999786376953,138.0,57.88899993896485
34,2023-02-06,87.05000305175781,139.5,58.10900115966797
35,2023-02-07,86.72000122070312,135.6499939,55.40299987792969
36,2023-02-08,86.33999633789062,128.8500061,53.6870002746582
37,2023-02-09,87.20999908447266,128.0,52.73400115966797
38,2023-02-10,89.12000274658203,131.0,53.946998596191406
39,2023-02-11,89.12000274658203,131.0,53.946998596191406
40,2023-02-12,89.12000274658203,131.0,53.946998596191406
41,2023-02-13,88.33000183105469,130.0,51.70700073242188
42,2023-02-14,88.01499938964844,134.0,52.38600158691406
43,2023-02-15,90.73500061035156,136.3999939,54.71599960327149
44,2023-02-16,93.54000091552734,136.8500061,52.01100158691406
45,2023-02-17,92.2699966430664,135.6499939,49.047000885009766
46,2023-02-18,92.2699966430664,135.6499939,49.047000885009766
47,2023-02-19,92.2699966430664,135.6499939,49.047000885009766
48,2023-02-20,94.34500122070312,135.6499939,49.047000885009766
49,2023-02-21,96.25,136.6499939,48.54199981689453
50,2023-02-22,92.37999725341795,137.0,50.56800079345703
51,2023-02-23,92.66500091552734,139.0,50.77999877929688
52,2023-02-24,93.16999816894533,138.3000031,51.01300048828125
53,2023-02-25,93.16999816894533,138.3000031,51.01300048828125
54,2023-02-26,93.16999816894533,138.3000031,51.01300048828125
55,2023-02-27,95.9499969482422,148.6499939,47.29899978637695
56,2023-02-28,95.04000091552734,146.0,46.665000915527344
57,2023-03-01,92.41999816894533,146.1499939,47.08399963378906
58,2023-03-02,88.79499816894531,140.5,46.81499862670898
59,2023-03-03,88.02999877929688,131.25,44.97999954223633
60,2023-03-04,88.02999877929688,131.25,44.97999954223633
61,2023-03-05,88.02999877929688,131.25,44.97999954223633
62,2023-03-06,89.01000213623047,123.6500015,42.14899826049805
63,2023-03-07,91.48500061035156,124.6500015,43.369998931884766
64,2023-03-08,93.5500030517578,123.6500015,42.3390007019043
65,2023-03-09,94.75499725341795,127.6500015,43.5989990234375
66,2023-03-10,95.80999755859376,135.0,52.85699844360352
67,2023-03-11,95.80999755859376,135.0,52.85699844360352
68,2023-03-12,95.80999755859376,135.0,52.85699844360352
69,2023-03-13,93.62000274658205,137.1499939,49.58399963378906
70,2023-03-14,88.83999633789062,138.0,44.185001373291016
71,2023-03-15,85.44499969482422,136.0,42.90499877929688
72,2023-03-16,84.19999694824219,137.6499939,44.34099960327149
73,2023-03-17,83.75499725341797,135.0,42.85699844360352
74,2023-03-18,83.75499725341797,135.0,42.85699844360352
75,2023-03-19,83.75499725341797,135.0,42.85699844360352
76,2023-03-20,84.08000183105469,133.8500061,39.32500076293945
77,2023-03-21,86.55500030517578,138.6499939,42.400001525878906
78,2023-03-22,85.83499908447266,135.6499939,39.97499847412109
79,2023-03-23,89.1050033569336,135.6499939,43.18600082397461
80,2023-03-24,84.44999694824219,135.5,41.09400177001953
81,2023-03-25,84.44999694824219,135.5,41.09400177001953
82,2023-03-26,84.44999694824219,135.5,41.09400177001953
83,2023-03-27,84.09500122070312,136.3500061,42.52799987792969
84,2023-03-28,85.83000183105469,137.6499939,42.75199890136719
85,2023-03-29,86.55000305175781,137.8500061,42.803001403808594
86,2023-03-30,87.21499633789062,137.6499939,43.60900115966797
87,2023-03-31,88.375,138.3000031,47.845001220703125
88,2023-04-01,88.375,138.3000031,47.845001220703125
89,2023-04-02,88.375,138.3000031,47.845001220703125
90,2023-04-03,91.98500061035156,148.3500061,51.367000579833984
91,2023-04-04,91.40499877929688,143.3500061,46.56800079345703
92,2023-04-05,92.8499984741211,140.1499939,44.57500076293945
93,2023-04-06,92.83999633789062,135.6499939,43.125
94,2023-04-07,92.83999633789062,135.6499939,43.125
95,2023-04-08,92.83999633789062,135.6499939,43.125
96,2023-04-09,92.83999633789062,135.6499939,43.125
97,2023-04-10,92.83999633789062,135.6499939,43.125
98,2023-04-11,94.3249969482422,130.25,43.69200134277344
99,2023-04-12,92.30500030517578,132.75,42.880001068115234
100,2023-04-13,90.7699966430664,134.1999969,42.09299850463867
101,2023-04-14,90.2249984741211,136.0,41.14899826049805
102,2023-04-15,90.2249984741211,136.0,41.14899826049805
103,2023-04-16,90.2249984741211,136.0,41.14899826049805
104,2023-04-17,89.34500122070312,136.1499939,41.12699890136719
105,2023-04-18,91.84500122070312,136.6499939,42.72200012207031
106,2023-04-19,91.0250015258789,137.3500061,40.29800033569336
107,2023-04-20,88.31500244140625,138.5,40.56499862670898
108,2023-04-21,86.36000061035156,138.3999939,40.16400146484375
109,2023-04-22,86.36000061035156,138.3999939,40.16400146484375
110,2023-04-23,86.36000061035156,138.3999939,40.16400146484375
111,2023-04-24,85.30000305175781,138.3500061,39.92499923706055
112,2023-04-25,83.36000061035156,140.0,39.83300018310547
113,2023-04-26,82.44499969482422,140.1000061,38.55099868774414
114,2023-04-27,82.80999755859375,139.8999939,39.03900146484375
115,2023-04-28,84.25,140.3399963,38.53799819946289
116,2023-04-29,84.25,140.3399963,38.53799819946289
117,2023-04-30,84.25,140.3399963,38.53799819946289
118,2023-05-01,84.25,136.25,38.83399963378906
119,2023-05-02,85.18499755859375,134.3999939,37.52899932861328
120,2023-05-03,81.91500091552734,128.6499939,36.78200149536133
121,2023-05-04,81.5199966430664,126.6500015,35.65299987792969
122,2023-05-05,81.90499877929688,126.8499985,36.57400131225586
123,2023-05-06,81.90499877929688,126.8499985,36.57400131225586
124,2023-05-07,81.90499877929688,126.8499985,36.57400131225586
125,2023-05-08,81.90499877929688,126.8499985,36.874000549316406
126,2023-05-09,83.48999786376953,125.25,35.95000076293945
127,2023-05-10,85.97000122070312,121.5,34.99300003051758
128,2023-05-11,85.27999877929688,119.3499985,34.99300003051758
129,2023-05-12,85.36499786376953,119.1500015,32.766998291015625
130,2023-05-13,85.36499786376953,119.1500015,32.766998291015625
131,2023-05-14,85.36499786376953,119.1500015,32.766998291015625
132,2023-05-15,83.79000091552734,118.5,32.31399917602539
133,2023-05-16,85.63999938964844,117.1500015,31.82099914550781
134,2023-05-17,85.19999694824219,117.8499985,31.952999114990234
135,2023-05-18,86.8550033569336,117.5999985,29.78499984741211
136,2023-05-19,86.31999969482422,118.4000015,30.176000595092773
137,2023-05-20,86.31999969482422,118.4000015,30.176000595092773
138,2023-05-21,86.31999969482422,118.4000015,30.176000595092773
139,2023-05-22,84.69999694824219,119.0,29.711000442504883
140,2023-05-23,82.2699966430664,119.0,29.12700080871582
141,2023-05-24,81.86000061035156,118.6500015,27.78499984741211
142,2023-05-25,79.98999786376953,118.5,25.45199966430664
143,2023-05-26,79.31500244140625,119.0299988,24.520000457763672
144,2023-05-27,79.31500244140625,119.0299988,24.520000457763672
145,2023-05-28,79.31500244140625,119.0299988,24.520000457763672
146,2023-05-29,79.31500244140625,119.0299988,24.520000457763672
147,2023-05-30,77.58000183105469,93.25,24.68099975585937
148,2023-05-31,78.30000305175781,95.09999847,26.851999282836918
149,2023-06-01,76.27999877929688,93.84999847,23.10300064086914
150,2023-06-02,76.24500274658203,100.6500015,23.68899917602539
151,2023-06-03,76.24500274658203,100.6500015,23.68899917602539
152,2023-06-04,76.24500274658203,100.6500015,23.68899917602539
153,2023-06-05,79.6500015258789,110.8499985,28.47800064086914
154,2023-06-06,78.76499938964844,105.5,24.86000061035156
155,2023-06-07,80.75,109.75,26.33099937438965
156,2023-06-08,81.125,112.5,26.94499969482422
157,2023-06-09,83.7699966430664,116.1500015,32.04899978637695
158,2023-06-10,83.7699966430664,116.1500015,32.04899978637695
159,2023-06-11,83.7699966430664,116.1500015,32.04899978637695
160,2023-06-12,84.30000305175781,114.75,31.035999298095703
161,2023-06-13,87.11000061035156,116.25,36.05099868774414
162,2023-06-14,89.71499633789062,116.6500015,38.3120002746582
163,2023-06-15,90.1999969482422,116.3499985,41.14500045776367
164,2023-06-16,88.9000015258789,114.6500015,35.007999420166016
165,2023-06-17,88.9000015258789,114.6500015,35.007999420166016
166,2023-06-18,88.9000015258789,114.6500015,35.007999420166016
167,2023-06-19,88.8949966430664,114.6500015,35.007999420166016
168,2023-06-20,91.5,116.75,38.70800018310547
169,2023-06-21,87.63500213623047,116.25,36.74300003051758
170,2023-06-22,86.97000122070312,115.6500015,34.09700012207031
171,2023-06-23,84.7699966430664,115.0,32.50699996948242
172,2023-06-24,84.7699966430664,115.0,32.50699996948242
173,2023-06-25,84.7699966430664,115.0,32.50699996948242
174,2023-06-26,83.17500305175781,114.6500015,31.975000381469727
175,2023-06-27,85.68000030517578,114.6500015,34.50600051879883
176,2023-06-28,84.5250015258789,114.6500015,34.125
177,2023-06-29,84.91500091552734,114.6500015,35.18000030517578
178,2023-06-30,85.98999786376953,115.5899963,37.10300064086914
179,2023-07-01,85.98999786376953,115.5899963,37.10300064086914
180,2023-07-02,85.98999786376953,115.5899963,37.10300064086914
181,2023-07-03,84.37000274658203,121.4000015,33.92900085449219
182,2023-07-04,84.33499908447266,121.4000015,33.92900085449219
183,2023-07-05,82.8949966430664,123.3499985,34.37300109863281
184,2023-07-06,82.83499908447266,117.25,32.347999572753906
185,2023-07-07,83.06999969482422,115.6500015,33.47800064086914
186,2023-07-08,83.06999969482422,115.6500015,33.47800064086914
187,2023-07-09,83.06999969482422,115.6500015,33.47800064086914
188,2023-07-10,83.06999969482422,111.5,30.226999282836918
189,2023-07-11,83.87999725341797,105.9000015,29.06100082397461
190,2023-07-12,82.75499725341797,104.5,26.638999938964844
191,2023-07-13,82.8949966430664,103.75,26.60700035095215
192,2023-07-14,83.16000366210938,103.8499985,25.957000732421875
193,2023-07-15,83.16000366210938,103.8499985,25.957000732421875
194,2023-07-16,83.16000366210938,103.8499985,25.957000732421875
195,2023-07-17,83.71499633789062,104.1500015,25.10099983215332
196,2023-07-18,85.06999969482422,108.3499985,27.069000244140625
197,2023-07-19,85.92500305175781,108.5,26.96299934387207
198,2023-07-20,87.81999969482422,110.0,28.01799964904785
199,2023-07-21,88.40499877929688,110.5,28.16399955749512
200,2023-07-22,88.40499877929688,110.5,28.16399955749512
201,2023-07-23,88.40499877929688,110.5,28.16399955749512
202,2023-07-24,88.00499725341797,111.0,30.55699920654297
203,2023-07-25,88.95999908447266,110.8499985,32.64799880981445
204,2023-07-26,87.7699966430664,110.9000015,29.274999618530277
205,2023-07-27,87.93499755859375,110.9000015,28.43400001525879
206,2023-07-28,85.80500030517578,110.4499969,25.840999603271484
207,2023-07-29,85.80500030517578,110.4499969,25.840999603271484
208,2023-07-30,85.80500030517578,110.4499969,25.840999603271484
209,2023-07-31,83.84500122070312,106.0,28.36599922180176
210,2023-08-01,81.69499969482422,103.8499985,27.12299919128418
211,2023-08-02,80.75,105.1500015,28.742000579833984
212,2023-08-03,81.875,108.1500015,30.472999572753903
213,2023-08-04,80.95500183105469,108.0999985,28.85300064086914
214,2023-08-05,80.95500183105469,108.0999985,28.85300064086914
215,2023-08-06,80.95500183105469,108.0999985,28.85300064086914
216,2023-08-07,80.3949966430664,112.25,30.48699951171875
217,2023-08-08,81.73999786376953,115.0,31.06599998474121
218,2023-08-09,81.26499938964844,115.9000015,39.823001861572266
