timestamp_gmt,offshore_wind_speed,offshore_wind_gusts,offshore_temperature,offshore_wind_direction
2023-01-01 00:00:00,51.15599999999999,67.1097,11.4175,225.16926833732626
2023-01-01 01:00:00,46.658199999999994,73.04050000000001,11.134199999999998,225.33230108560258
2023-01-01 02:00:00,46.52479999999999,70.8085,11.100799999999998,228.16558811175426
2023-01-01 03:00:00,42.160399999999996,67.9934,10.8342,225.49912701142662
2023-01-01 04:00:00,44.3767,65.0789,10.8507,230.16926833732626
2023-01-01 05:00:00,42.4602,64.56259999999999,10.550699999999999,227.83261417327245
2023-01-01 06:00:00,43.076299999999996,61.079499999999996,10.684299999999999,227.50087298857338
2023-01-01 07:00:00,45.0095,65.9465,10.467600000000001,226.4995681755242
2023-01-01 08:00:00,51.67309999999999,76.92299999999999,10.6841,236.6660376310973
2023-01-01 09:00:00,49.4399,76.6224,10.550699999999999,238.16926833732623
2023-01-01 10:00:00,48.1421,74.959,10.533999999999999,235.00098362898376
2023-01-01 11:00:00,46.0421,71.3771,10.3006,240.16699529625666
2023-01-01 12:00:00,43.975899999999996,67.99279999999999,10.0674,234.81582274332905
2023-01-01 13:00:00,41.0089,62.2602,9.8672,235.30221725430658
2023-01-01 14:00:00,39.542100000000005,58.2427,9.7004,230.1010377632728
2023-01-01 15:00:00,38.207499999999996,55.942299999999996,9.6169,227.14061880301364
2023-01-01 16:00:00,37.3912,53.3067,9.5002,225.4995681755242
2023-01-01 17:00:00,35.64190000000001,54.80669999999999,9.450099999999999,228.00098362898376
2023-01-01 18:00:00,30.909699999999997,48.6916,9.5499,222.83300470374328
2023-01-01 19:00:00,31.375700000000002,42.6759,9.3499,217.50087298857338
2023-01-01 20:00:00,30.8089,42.1254,9.3165,216.66603763109734
2023-01-01 21:00:00,31.658399999999997,42.8079,9.3165,212.16926833732626
2023-01-01 22:00:00,30.358799999999995,43.9073,9.2332,209.53675639118185
2023-01-01 23:00:00,29.5922,41.191599999999994,9.0666,206.05740474772594
2023-01-02 00:00:00,25.194399999999998,39.942099999999996,9.0,204.58426867082036
2023-01-02 01:00:00,21.112499999999997,33.4783,8.9833,203.3407002355412
2023-01-02 02:00:00,14.665199999999999,28.396399999999996,8.833400000000001,194.06051159978065
2023-01-02 03:00:00,11.2668,20.9,8.8501,172.5090411287977
2023-01-02 04:00:00,8.3354,16.7867,8.9002,192.38376184119494
2023-01-02 05:00:00,5.6038,12.9891,8.850299999999999,185.21033749655297
2023-01-02 06:00:00,7.8871,10.1428,8.933799999999998,283.7226843381308
2023-01-02 07:00:00,10.936399999999999,16.7235,9.000599999999999,276.56185228943156
2023-01-02 08:00:00,24.981099999999998,33.7338,9.134,282.5925999550604
2023-01-02 09:00:00,23.9151,34.5674,9.2507,267.82128705295816
2023-01-02 10:00:00,27.147499999999997,37.53359999999999,9.2509,261.80996245859825
2023-01-02 11:00:00,30.0137,41.0,9.350900000000001,248.0625600086422
2023-01-02 12:00:00,31.7141,45.5831,9.1845,243.58426867082034
2023-01-02 13:00:00,35.9958,50.4487,9.050899999999999,245.66640986289485
2023-01-02 14:00:00,35.8948,52.41629999999999,8.667,255.33359013710515
2023-01-02 15:00:00,34.193799999999996,50.9795,8.649899999999999,261.33359013710515
2023-01-02 16:00:00,36.4262,50.9272,8.499799999999999,269.16926833732623
2023-01-02 17:00:00,37.010099999999994,51.944500000000005,8.1831,269.8326141732724
2023-01-02 18:00:00,35.4769,52.5783,8.066399999999998,272.34731656297737
2023-01-02 19:00:00,35.458999999999996,50.9272,8.1829,268.05740474772597
2023-01-02 20:00:00,35.6604,50.0109,8.1829,271.3591751237247
2023-01-02 21:00:00,35.0111,50.1952,8.1497,272.6599039412651
2023-01-02 22:00:00,34.7133,50.24889999999999,8.033,276.02152243474086
2023-01-02 23:00:00,32.696,48.7495,7.832799999999999,272.5367563911818
2023-01-03 00:00:00,31.3308,45.7994,7.7829,273.02152243474086
2023-01-03 01:00:00,30.7473,44.850500000000004,7.7328,271.1841772566709
2023-01-03 02:00:00,30.3479,42.9517,7.5994,269.85938119698636
2023-01-03 03:00:00,31.180899999999998,43.900600000000004,7.2993999999999994,269.85938119698636
2023-01-03 04:00:00,30.1477,43.167399999999994,7.0994,268.67493270850275
2023-01-03 05:00:00,29.597799999999996,42.4006,6.9994,265.16926833732623
2023-01-03 06:00:00,25.165599999999998,40.7843,6.8326,254.16558811175426
2023-01-03 07:00:00,23.999,36.052299999999995,6.7992,249.8330047037433
2023-01-03 08:00:00,25.8312,35.901199999999996,6.4992,243.66529151144695
2023-01-03 09:00:00,23.064999999999998,35.6006,6.682499999999999,236.14061880301364
2023-01-03 10:00:00,24.5644,35.2332,6.9491000000000005,230.62366844267567
2023-01-03 11:00:00,27.7129,38.1819,7.2823,224.57192209161423
2023-01-03 12:00:00,30.1622,40.4139,7.332599999999999,218.2296865222234
2023-01-03 13:00:00,29.295199999999998,42.546499999999995,7.549099999999999,211.93948840021935
2023-01-03 14:00:00,30.660399999999996,42.3789,7.049300000000001,195.85335656328522
2023-01-03 15:00:00,34.3244,47.9916,7.582299999999999,205.08412538319996
2023-01-03 16:00:00,32.3081,50.15539999999999,7.465399999999999,195.4909588712023
2023-01-03 17:00:00,34.740300000000005,49.321799999999996,7.6817,200.99586008963658
2023-01-03 18:00:00,36.6723,52.086800000000004,7.198199999999999,182.83441188824574
