,Month,RMSE,MAE
0,2025-09,12.278401791282135,12.112640534886125
1,2025-10,25.949935416502413,16.142433832140764
2,2025-11,26.689154645028584,17.176920358063278
3,2025-12,16.072106949914335,12.989413818197956
4,2026-01,15.110305658527283,11.08419774171072
5,2026-02,15.273967529029362,12.767981175127751
6,2026-03,19.94119050509679,15.142039613604064
7,2026-04,29.09044032554185,15.898916671498505
8,2026-05,35.04333575643368,20.071510682352223
9,2026-06,43.94910346026996,23.73634486518713
10,2026-07,28.04847552566904,23.58681698257876
11,2026-08,38.44675694503835,33.954336329009685
