,Month,RMSE,MAE
0,2025-09,12.404094865148794,12.378996932239922
1,2025-10,22.321270655274937,13.035637330716703
2,2025-11,23.283176599639596,15.01718614902416
3,2025-12,11.354791590981671,8.996504430489098
4,2026-01,16.869077301549662,14.056341934384088
5,2026-02,18.931536432695175,15.996093839657302
6,2026-03,18.642899085609642,14.83175358534647
7,2026-04,30.061387888291087,16.427935107118746
8,2026-05,29.007852834091384,12.716811940729947
9,2026-06,41.525391861221166,20.369472446041538
10,2026-07,24.198083537296654,18.800111326709043
11,2026-08,37.108281438517864,30.857512877805895
