,Datetime_UTC,Gas_1d_lag,Carbon_1d_lag,Forecasted_Grid Load_(Forecasted_Total_Consumption)_MWh,Photovoltaics_MWh,PV_and_Wind_MWh,renewable_penetration_ratio,price_lag_24h,Price_EUR_MWh,ensemble_pred
13965,2025-10-01 00:00:00+02:00,31.410999298095703,72.80999755859375,45381.25,0.0,9005.25,0.1984354771632699,101.1,91.565,103.15532439233169
13966,2025-10-01 01:00:00+02:00,31.410999298095703,72.80999755859375,43991.75,0.0,8276.25,0.1881318655911319,98.43,86.285,99.45266947214814
13967,2025-10-01 02:00:00+02:00,31.410999298095703,72.80999755859375,43459.5,0.0,7588.25,0.1746050920570634,98.93,84.8725,99.32554005844409
13968,2025-10-01 03:00:00+02:00,31.410999298095703,72.80999755859375,43607.75,0.0,6847.5,0.1570248407319742,94.99,88.325,100.92721700440663
13969,2025-10-01 04:00:00+02:00,31.410999298095703,72.80999755859375,44781.5,0.0,6278.0,0.1401918202516235,99.12,87.655,104.79514411869202
13970,2025-10-01 05:00:00+02:00,31.410999298095703,72.80999755859375,47768.75,0.0,5958.75,0.1247415935889589,112.08,95.3275,114.19839180637555
13971,2025-10-01 06:00:00+02:00,31.410999298095703,72.80999755859375,54239.5,0.0,5798.0,0.1068962656169588,141.86,124.96,147.5879401006535
13972,2025-10-01 07:00:00+02:00,31.410999298095703,72.80999755859375,59792.75,1064.0,6949.0,0.1162181033459377,244.0,173.29999999999998,175.4396071955175
13973,2025-10-01 08:00:00+02:00,31.410999298095703,72.80999755859375,62776.25,8446.5,14484.5,0.2307321637990908,209.23,139.0875,156.51980899139562
13974,2025-10-01 09:00:00+02:00,31.410999298095703,72.80999755859375,63813.75,19705.25,24843.5,0.3893126480751699,141.85,105.25,117.21310926387146
13975,2025-10-01 10:00:00+02:00,31.410999298095703,72.80999755859375,64432.5,29752.75,33636.0,0.5220346873826043,115.2,86.035,91.08389346179635
13976,2025-10-01 11:00:00+02:00,31.410999298095703,72.80999755859375,64761.75,35785.75,39494.5,0.6098430013688878,96.72,70.5675,62.75525082190496
13977,2025-10-01 12:00:00+02:00,31.410999298095703,72.80999755859375,64151.25,37006.0,41044.75,0.6398121625627229,87.91,66.025,56.480060759013774
13978,2025-10-01 13:00:00+02:00,31.410999298095703,72.80999755859375,63139.0,34932.5,38771.5,0.6140657912519891,86.04,68.4,62.10972977957198
13979,2025-10-01 14:00:00+02:00,31.410999298095703,72.80999755859375,61400.25,31382.75,34670.75,0.5646678962113887,87.26,72.6275,74.28864591716042
13980,2025-10-01 15:00:00+02:00,31.410999298095703,72.80999755859375,60399.25,26161.25,29022.0,0.4805026551686481,96.8,81.7225,91.55469378025981
13981,2025-10-01 16:00:00+02:00,31.410999298095703,72.80999755859375,59703.75,18432.5,21074.0,0.35297615303009,104.03,92.87,108.93128783303521
13982,2025-10-01 17:00:00+02:00,31.410999298095703,72.80999755859375,59949.25,9055.0,11722.5,0.1955403945511344,142.64,135.39999999999998,143.52990442857248
13983,2025-10-01 18:00:00+02:00,31.410999298095703,72.80999755859375,61026.75,1720.25,4997.25,0.081886222012169,294.54,253.2375,190.87084687503852
13984,2025-10-01 19:00:00+02:00,31.410999298095703,72.80999755859375,60834.75,21.5,4678.0,0.0768968393760314,357.77,339.9925,193.2749087938521
13985,2025-10-01 20:00:00+02:00,31.410999298095703,72.80999755859375,58545.5,0.0,6023.5,0.1028857896673722,147.28,152.0225,163.3401350440617
13986,2025-10-01 21:00:00+02:00,31.410999298095703,72.80999755859375,55437.0,0.0,6898.25,0.1244340422237072,116.04,113.035,132.8713057704237
13987,2025-10-01 22:00:00+02:00,31.410999298095703,72.80999755859375,51827.75,0.0,7495.0,0.1446136480660237,101.63,98.51,115.03240670638242
13988,2025-10-01 23:00:00+02:00,31.410999298095703,72.80999755859375,48309.5,0.0,7691.75,0.1592181661662368,92.54,90.6475,107.98819468090032
13989,2025-10-02 00:00:00+02:00,31.334999084472656,73.49500274658203,46272.75,0.0,8763.25,0.1893825199087189,91.565,90.805,103.16455486822747
13990,2025-10-02 01:00:00+02:00,31.334999084472656,73.49500274658203,44737.75,0.0,8195.75,0.1831953998171129,86.285,88.0,96.55305856139522
13991,2025-10-02 02:00:00+02:00,31.334999084472656,73.49500274658203,44514.0,0.0,7564.0,0.1699240687941043,84.8725,86.52499999999999,94.57032803666868
13992,2025-10-02 03:00:00+02:00,31.334999084472656,73.49500274658203,44572.25,0.0,6847.75,0.1536325852624373,88.325,88.56,96.46012124867694
13993,2025-10-02 04:00:00+02:00,31.334999084472656,73.49500274658203,44895.25,0.0,6316.0,0.1406830343653987,87.655,90.8075,96.63663853625935
13994,2025-10-02 05:00:00+02:00,31.334999084472656,73.49500274658203,46866.75,0.0,6207.75,0.1324553121066736,95.3275,95.9725,104.67138834646164
13995,2025-10-02 06:00:00+02:00,31.334999084472656,73.49500274658203,52211.0,0.0,6599.0,0.1263909903801132,124.96,128.72,124.58017638212445
13996,2025-10-02 07:00:00+02:00,31.334999084472656,73.49500274658203,56856.25,968.5,8218.75,0.1445531493644844,173.29999999999998,181.0875,157.97672490994927
13997,2025-10-02 08:00:00+02:00,31.334999084472656,73.49500274658203,60406.25,8612.0,16393.75,0.2713916191997696,139.0875,136.67749999999998,137.0227088429777
13998,2025-10-02 09:00:00+02:00,31.334999084472656,73.49500274658203,61206.75,20752.75,27933.0,0.4563712334903632,105.25,100.505,100.4294694548681
13999,2025-10-02 10:00:00+02:00,31.334999084472656,73.49500274658203,62476.25,31302.25,37306.75,0.5971349111707033,86.035,91.48,74.94503295278892
14000,2025-10-02 11:00:00+02:00,31.334999084472656,73.49500274658203,62201.0,37686.0,43299.5,0.6961222487265281,70.5675,78.285,35.85326525148813
14001,2025-10-02 12:00:00+02:00,31.334999084472656,73.49500274658203,61506.0,39529.0,45392.75,0.7380214937180077,66.025,65.77,28.735191799650075
14002,2025-10-02 13:00:00+02:00,31.334999084472656,73.49500274658203,60846.75,37603.25,43421.0,0.7136124771308883,68.4,60.5,32.452699831459455
14003,2025-10-02 14:00:00+02:00,31.334999084472656,73.49500274658203,59595.0,33792.25,39358.0,0.6604245321485989,72.6275,71.28999999999999,49.701589298981055
14004,2025-10-02 15:00:00+02:00,31.334999084472656,73.49500274658203,58200.0,28267.0,33717.25,0.5793341923403206,81.7225,80.6625,72.66302601542603
14005,2025-10-02 16:00:00+02:00,31.334999084472656,73.49500274658203,57398.25,20089.5,25582.5,0.4457017417001909,92.87,91.445,94.522945726655
14006,2025-10-02 17:00:00+02:00,31.334999084472656,73.49500274658203,57916.75,9777.0,15471.5,0.2671334285388711,135.39999999999998,113.32,126.90862953358172
14007,2025-10-02 18:00:00+02:00,31.334999084472656,73.49500274658203,59316.25,1731.75,8397.0,0.1415632309625838,253.2375,167.925,166.28368894128607
